code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7523,専門店・ドラッグストア,アールビバン,アールビバン（株）,小売業,1984年11月24日,1984年度,http://www.artvivant.net/,〒140-0002,東京都品川区東品川４－１３－１４グラスキューブ品川,東京都,6100_小売業,東証JQスタンダード
7524,飲食店,マルシェ,マルシェ（株）,小売業,1972年5月8日,1972年度,http://www.marche.co.jp/,〒545-0021,大阪市阿倍野区阪南町２－２０－１４,大阪府,6100_小売業,東証１部
7525,建材・電気機械・金属卸,リックス,リックス（株）,卸売業,1964年5月1日,1964年度,http://www.rix.co.jp/,〒812-8672,福岡市博多区山王１－１５－１５,福岡県,6050_卸売業,東証１部
7527,システム・ソフトウエア,システムソフト,（株）システムソフト,情報・通信業,1983年5月9日,1983年度,http://www.systemsoft.co.jp/,〒810-8665,福岡市中央区天神１－１２－１,福岡県,5250_情報・通信業,東証１部
7531,建材・電気機械・金属卸,清和中央ホールディングス,清和中央ホールディングス（株）,卸売業,1954年3月31日,1953年度,http://www.seiwa-chuo-holdings.co.jp/,〒550-0025,大阪市西区九条南３－１－２０,大阪府,6050_卸売業,東証JQスタンダード
7532,専門店・ドラッグストア,パン・パシフィック・インターナショナルホールディングス,（株）パン・パシフィック・インターナショナルホールディングス,小売業,1980年9月5日,1980年度,https://ppi-hd.co.jp/,〒153-0042,東京都目黒区青葉台２－１９－１０,東京都,6100_小売業,東証１部
7537,建材・電気機械・金属卸,丸文,丸文（株）,卸売業,1947年7月1日,1947年度,http://www.marubun.co.jp/,〒103-8577,東京都中央区日本橋大伝馬町８－１,東京都,6050_卸売業,東証１部
7538,食品卸,大水,（株）大水,卸売業,1939年4月7日,1939年度,http://www.daisui.co.jp/,〒553-8550,大阪市福島区野田１－１－８６大阪市中央卸売市場内,大阪府,6050_卸売業,東証２部
7539,不動産・住宅,アイナボホールディングス,（株）アイナボホールディングス,卸売業,1955年3月3日,1954年度,http://www.ainavo.co.jp/,〒123-8509,東京都足立区鹿浜３－３－３,東京都,6050_卸売業,東証JQスタンダード
7544,総合小売・食料品小売,スリーエフ,（株）スリーエフ,小売業,1981年2月10日,1980年度,http://www.three-f.co.jp/,〒231-8507,横浜市中区日本大通１７,神奈川県,6100_小売業,東証２部
7545,衣料品・服飾品小売,西松屋チェーン,（株）西松屋チェーン,小売業,1956年10月3日,1956年度,http://www.24028.jp/,〒671-0218,兵庫県姫路市飾東町庄２６６－１,兵庫県,6100_小売業,東証１部
7550,飲食店,ゼンショーホールディングス,（株）ゼンショーホールディングス,小売業,1982年6月30日,1982年度,http://www.zensho.co.jp/,〒108-0075,東京都港区港南２－１８－１ＪＲ品川イーストビル,東京都,6100_小売業,東証１部
7551,建材・電気機械・金属卸,ウェッズ,（株）ウェッズ,輸送用機器,1965年10月12日,1965年度,http://www.weds.co.jp/,〒143-0016,東京都大田区大森北１－６－８ウィラ大森ビル,東京都,3700_輸送用機器,東証JQスタンダード
7552,生活関連用品卸,ハピネット,（株）ハピネット,卸売業,1972年9月26日,1972年度,http://www.happinet.co.jp/,〒111-0043,東京都台東区駒形２－４－５,東京都,6050_卸売業,東証１部
7554,飲食店,幸楽苑ホールディングス,（株）幸楽苑ホールディングス,小売業,1970年11月11日,1970年度,http://www.kourakuen.co.jp/,〒963-0724,福島県郡山市田村町上行合字北川田２－１,福島県,6100_小売業,東証１部
7555,生活関連用品卸,大田花き,（株）大田花き,卸売業,1989年1月31日,1988年度,http://www.otakaki.co.jp/,〒143-0001,東京都大田区東海２－２－１,東京都,6050_卸売業,東証JQスタンダード
7559,食品製造,ジーエフシー,ジーエフシー（株）,卸売業,1972年8月31日,1972年度,http://www.gfc-c.co.jp/,〒501-6193,岐阜県羽島郡笠松町田代９７８－１,岐阜県,6050_卸売業,東証JQスタンダード
7561,弁当・デリバリー,ハークスレイ,（株）ハークスレイ,小売業,1980年3月18日,1979年度,http://www.hurxley.co.jp/,〒530-0014,大阪市北区鶴野町３－１０,大阪府,6100_小売業,東証１部
7562,飲食店,安楽亭,（株）安楽亭,小売業,1978年11月17日,1978年度,http://www.anrakutei.co.jp/,〒338-0001,さいたま市中央区上落合２－３－５,埼玉県,6100_小売業,東証２部
7564,衣料品・服飾品小売,ワークマン,（株）ワークマン,小売業,1982年8月19日,1982年度,http://www.workman.co.jp/,〒110-0015,東京都台東区東上野４－８－１,東京都,6100_小売業,東証JQスタンダード
7565,建設・土木,万世電機,萬世電機（株）,卸売業,1947年5月29日,1947年度,http://www.mansei.co.jp/,〒553-0003,大阪市福島区福島７－１５－５,大阪府,6050_卸売業,東証２部
7567,建材・電気機械・金属卸,栄電子,（株）栄電子,卸売業,1971年4月20日,1971年度,http://www.sakae-denshi.com/,〒101-0021,東京都千代田区外神田２－９－１０,東京都,6050_卸売業,東証JQスタンダード
7570,建材・電気機械・金属卸,橋本総業ホールディングス,橋本総業ホールディングス（株）,卸売業,1938年3月15日,1937年度,http://www.hat-hd.co.jp/,〒103-0001,東京都中央区日本橋小伝馬町９－９,東京都,6050_卸売業,東証１部
