id,  name,  category,  url,  company,  kessan,  siiteanalitics
5388,  クニミネ工業,  3400_ガラス・土石製品,  https://www.nikkei.com/nkd/company/?scode=5388,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5388,  https://www.nikkei.com/nkd/company/kessan/?scode=5388,https://omotenashi.site/company/5388/
5391,  エーアンドエーマテリアル,  3400_ガラス・土石製品,  https://www.nikkei.com/nkd/company/?scode=5391,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5391,  https://www.nikkei.com/nkd/company/kessan/?scode=5391,https://omotenashi.site/company/5391/
5393,  ニチアス,  3400_ガラス・土石製品,  https://www.nikkei.com/nkd/company/?scode=5393,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5393,  https://www.nikkei.com/nkd/company/kessan/?scode=5393,https://omotenashi.site/company/5393/
5395,  理研コランダム,  3400_ガラス・土石製品,  https://www.nikkei.com/nkd/company/?scode=5395,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5395,  https://www.nikkei.com/nkd/company/kessan/?scode=5395,https://omotenashi.site/company/5395/
7943,  ニチハ,  3400_ガラス・土石製品,  https://www.nikkei.com/nkd/company/?scode=7943,  https://www.nikkei.com/nkd/company/gaiyo/?scode=7943,  https://www.nikkei.com/nkd/company/kessan/?scode=7943,https://omotenashi.site/company/7943/
5401,  日本製鉄,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5401,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5401,  https://www.nikkei.com/nkd/company/kessan/?scode=5401,https://omotenashi.site/company/5401/
5406,  神戸製鋼所,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5406,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5406,  https://www.nikkei.com/nkd/company/kessan/?scode=5406,https://omotenashi.site/company/5406/
5408,  中山製鋼所,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5408,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5408,  https://www.nikkei.com/nkd/company/kessan/?scode=5408,https://omotenashi.site/company/5408/
5410,  合同製鐵,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5410,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5410,  https://www.nikkei.com/nkd/company/kessan/?scode=5410,https://omotenashi.site/company/5410/
5411,  ジェイ　エフ　イー　ホールディングス,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5411,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5411,  https://www.nikkei.com/nkd/company/kessan/?scode=5411,https://omotenashi.site/company/5411/
5423,  東京製鐵,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5423,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5423,  https://www.nikkei.com/nkd/company/kessan/?scode=5423,https://omotenashi.site/company/5423/
5440,  共英製鋼,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5440,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5440,  https://www.nikkei.com/nkd/company/kessan/?scode=5440,https://omotenashi.site/company/5440/
5444,  大和工業,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5444,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5444,  https://www.nikkei.com/nkd/company/kessan/?scode=5444,https://omotenashi.site/company/5444/
5445,  東京鐵鋼,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5445,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5445,  https://www.nikkei.com/nkd/company/kessan/?scode=5445,https://omotenashi.site/company/5445/
5446,  北越メタル,  3450_鉄鋼,  https://www.nikkei.com/nkd/company/?scode=5446,  https://www.nikkei.com/nkd/company/gaiyo/?scode=5446,  https://www.nikkei.com/nkd/company/kessan/?scode=5446,https://omotenashi.site/company/5446/
